route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28013 - 28060,8167,2910,NA,32794,más de 30 min,28013,28060,2
28013 - 28061,18594,4025,7380,63519,más de 30 min,28013,28061,4
28013 - 28065,8365,2299,1500,29597,transit,28013,28065,440
28013 - 28066,7631,2312,NA,26635,más de 30 min,28013,28066,30
28013 - 28072,19186,3927,NA,65225,más de 30 min,28013,28072,2
28013 - 28073,7998,2386,4080,28285,más de 30 min,28013,28073,40
28013 - 28074,9316,2560,2926,32796,más de 30 min,28013,28074,183
28013 - 28075,9750,3005,NA,35220,más de 30 min,28013,28075,5
28013 - 28079,10856,3007,2760,37683,más de 30 min,28013,28079,66
28013 - 28079-01,10428,2936,3513,37219,más de 30 min,28013,28079-01,565
28013 - 28079-02,9714,2420,4755,35968,más de 30 min,28013,28079-02,229
28013 - 28079-03,10404,2736,3992,37454,más de 30 min,28013,28079-03,270
28013 - 28079-04,10727,3154,3839,38681,más de 30 min,28013,28079-04,422
28013 - 28079-05,11509,2938,4411,41771,más de 30 min,28013,28079-05,405
28013 - 28079-06,11548,3347,4358,41704,más de 30 min,28013,28079-06,291
28013 - 28079-07,11525,3057,4114,39499,más de 30 min,28013,28079-07,271
28013 - 28079-08,13291,3363,NA,50368,más de 30 min,28013,28079-08,222
28013 - 28079-09,11181,2800,6684,41203,más de 30 min,28013,28079-09,234
28013 - 28079-10,10828,2903,4123,38608,más de 30 min,28013,28079-10,76
28013 - 28079-11,10971,2634,5466,37533,más de 30 min,28013,28079-11,82
28013 - 28079-12,9668,2577,4929,35212,más de 30 min,28013,28079-12,161
28013 - 28079-13,9816,2465,3920,35673,más de 30 min,28013,28079-13,94
28013 - 28079-14,10468,2592,4897,37704,más de 30 min,28013,28079-14,35
28013 - 28079-15,11788,2678,5569,41434,más de 30 min,28013,28079-15,157
28013 - 28079-16,12799,2880,4472,43784,más de 30 min,28013,28079-16,230
28013 - 28079-17,8775,2565,3893,31653,más de 30 min,28013,28079-17,164
28013 - 28079-18,8694,2105,4876,32882,más de 30 min,28013,28079-18,110
28013 - 28079-19,10141,2740,5198,36640,más de 30 min,28013,28079-19,18
28013 - 28079-20,11106,2896,5381,39682,más de 30 min,28013,28079-20,400
28013 - 28079-21,12176,2957,6352,43138,más de 30 min,28013,28079-21,153
28013 - 28080,14045,3126,7320,50205,más de 30 min,28013,28080,28
28013 - 28083,14850,3603,8481,52491,más de 30 min,28013,28083,9
28013 - 28084,9601,2823,NA,36179,más de 30 min,28013,28084,3
28013 - 28086,18780,4125,7500,69919,más de 30 min,28013,28086,1
28013 - 28089,8365,2485,NA,29733,más de 30 min,28013,28089,5
28013 - 28091,5616,2829,NA,21627,más de 30 min,28013,28091,8
28013 - 28092,9854,2819,4288,34976,más de 30 min,28013,28092,63
28013 - 28093,25433,NA,NA,78379,más de 30 min,28013,28093,1
28013 - 28096,11187,3063,6729,40111,más de 30 min,28013,28096,18
28013 - 28102,10742,3629,NA,37868,más de 30 min,28013,28102,9
28013 - 28104,13062,3163,6840,47143,más de 30 min,28013,28104,2
28013 - 28106,7319,2198,4865,25218,más de 30 min,28013,28106,86
28013 - 28109,18572,4582,10135,65132,más de 30 min,28013,28109,1
28013 - 28110,7158,2712,NA,27033,más de 30 min,28013,28110,2
28013 - 28113,5955,1565,1200,21455,transit,28013,28113,237
28013 - 28115,12534,2918,5940,44504,más de 30 min,28013,28115,118
28013 - 28119,14947,3448,NA,53569,más de 30 min,28013,28119,1
28013 - 28121,24637,4479,9720,78585,más de 30 min,28013,28121,1
28013 - 28123,8177,2545,5354,30888,más de 30 min,28013,28123,62
28013 - 28125,20751,4879,7620,70949,más de 30 min,28013,28125,2
28013 - 28127,14536,3145,4920,51454,más de 30 min,28013,28127,71
28013 - 28129,19595,3888,6840,65722,más de 30 min,28013,28129,2
28013 - 28130,10645,2626,6186,38619,más de 30 min,28013,28130,55
28013 - 28131,20898,4767,7800,69441,más de 30 min,28013,28131,5
28013 - 28132,4348,1680,NA,16572,driving_best_guess,28013,28132,100
28013 - 28133,20460,5013,10560,70052,más de 30 min,28013,28133,2
28013 - 28134,14299,3543,6828,54448,más de 30 min,28013,28134,78
28013 - 28140,7985,2496,NA,28002,más de 30 min,28013,28140,3
28013 - 28144,20746,4313,NA,70591,más de 30 min,28013,28144,1
28013 - 28145,17695,4346,8040,67527,más de 30 min,28013,28145,1
28013 - 28147,2574,1604,NA,9861,driving_best_guess,28013,28147,7
28013 - 28148,11649,2971,4680,42682,más de 30 min,28013,28148,36
28013 - 28149,6571,1861,5700,22722,más de 30 min,28013,28149,22
28013 - 28150,5890,1749,NA,20617,driving_best_guess,28013,28150,16
28013 - 28152,17035,3471,9541,60401,más de 30 min,28013,28152,6
28013 - 28153,20588,5042,9360,77489,más de 30 min,28013,28153,1
28013 - 28154,10786,3535,8580,38748,más de 30 min,28013,28154,13
28013 - 28160,17281,3831,6360,58620,más de 30 min,28013,28160,1
28013 - 28161,4828,1333,900,17357,transit,28013,28161,406
28013 - 28164,16863,4083,7500,63523,más de 30 min,28013,28164,2
28013 - 28167,8912,2615,NA,33603,más de 30 min,28013,28167,3
28013 - 28170,3235,1333,NA,11019,driving_best_guess,28013,28170,24
28013 - 28171,15884,4652,NA,59520,más de 30 min,28013,28171,6
28013 - 28172,12714,3753,8562,45413,más de 30 min,28013,28172,1
28013 - 28173,6383,2978,NA,25823,más de 30 min,28013,28173,1
28013 - 28174,12391,3519,NA,45424,más de 30 min,28013,28174,1
28013 - 28176,14796,3552,9840,51622,más de 30 min,28013,28176,7
28013 - 28180,7473,2577,NA,26135,más de 30 min,28013,28180,21
28013 - 28181,11217,2811,5857,39864,más de 30 min,28013,28181,41
